figure,panel,source_file,source_row,from,to,edge_type,edge_support,signed_balance,selection_rule
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,90,Fibrosis_pathway,organizing_pneumonia,Biomarker-B bridge,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,91,Oxidative_stress_pathway,UIP,Biomarker-B bridge,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,92,SP_D,DLCO,Biomarker-B bridge,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,93,TGFB_axis,FVC,Biomarker-B bridge,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,94,UIP,mortality,B bridge-outcome,96,0.5333333333333333,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,95,FVC,mortality,B bridge-outcome,75,0.4074074074074074,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,96,FVC,progression,B bridge-outcome,68,0.07692307692307693,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,97,UIP,progression,B bridge-outcome,64,0.391304347826087,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,98,DLCO,mortality,B bridge-outcome,49,0.6923076923076923,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,99,DLCO,progression,B bridge-outcome,46,-0.07692307692307693,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,100,NSIP,mortality,B bridge-outcome,46,0.6,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,101,NSIP,progression,B bridge-outcome,22,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,102,honeycombing,mortality,B bridge-outcome,22,0.5,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,103,organizing_pneumonia,mortality,B bridge-outcome,18,-0.3333333333333333,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,104,ground_glass,mortality,B bridge-outcome,17,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,105,honeycombing,progression,B bridge-outcome,12,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,106,ground_glass,progression,B bridge-outcome,11,0.6666666666666666,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,107,UIP,AE-ILD,B bridge-outcome,9,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,108,organizing_pneumonia,progression,B bridge-outcome,9,-1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,109,NSIP,AE-ILD,B bridge-outcome,5,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,110,FVC,AE-ILD,B bridge-outcome,2,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,111,ground_glass,AE-ILD,B bridge-outcome,2,0,Displayed network edge retained by figure-specific data-driven support thresholds.
